2026-05-21 10:05:36 | INFO     | spider.longchau | Lấy danh sách trang 63: https://nhathuoclongchau.com.vn/thuoc?page=63
2026-05-21 10:05:40 | INFO     | spider.longchau | Trang 63: 11 sản phẩm
2026-05-21 10:05:40 | INFO     | spider.longchau | Lấy danh sách trang 64: https://nhathuoclongchau.com.vn/thuoc?page=64
2026-05-21 10:05:44 | INFO     | spider.longchau | Trang 64: 11 sản phẩm
2026-05-21 10:05:44 | INFO     | spider.longchau | Lấy danh sách trang 65: https://nhathuoclongchau.com.vn/thuoc?page=65
2026-05-21 10:05:47 | INFO     | spider.longchau | Trang 65: 11 sản phẩm
2026-05-21 10:05:47 | INFO     | spider.longchau | Lấy danh sách trang 66: https://nhathuoclongchau.com.vn/thuoc?page=66
2026-05-21 10:05:51 | INFO     | spider.longchau | Trang 66: 11 sản phẩm
2026-05-21 10:05:51 | INFO     | spider.longchau | Lấy danh sách trang 67: https://nhathuoclongchau.com.vn/thuoc?page=67
2026-05-21 10:05:55 | INFO     | spider.longchau | Trang 67: 11 sản phẩm
2026-05-21 10:05:55 | INFO     | spider.longchau | Lấy danh sách trang 68: https://nhathuoclongchau.com.vn/thuoc?page=68
2026-05-21 10:05:59 | INFO     | spider.longchau | Trang 68: 11 sản phẩm
2026-05-21 10:05:59 | INFO     | spider.longchau | Lấy danh sách trang 69: https://nhathuoclongchau.com.vn/thuoc?page=69
2026-05-21 10:06:09 | INFO     | spider.longchau | Trang 69: 11 sản phẩm
2026-05-21 10:06:09 | INFO     | spider.longchau | Lấy danh sách trang 70: https://nhathuoclongchau.com.vn/thuoc?page=70
2026-05-21 10:06:13 | INFO     | spider.longchau | Trang 70: 11 sản phẩm
2026-05-21 10:06:13 | INFO     | spider.longchau | Lấy danh sách trang 71: https://nhathuoclongchau.com.vn/thuoc?page=71
2026-05-21 10:06:17 | INFO     | spider.longchau | Trang 71: 11 sản phẩm
2026-05-21 10:06:17 | INFO     | spider.longchau | Lấy danh sách trang 72: https://nhathuoclongchau.com.vn/thuoc?page=72
2026-05-21 10:06:22 | INFO     | spider.longchau | Trang 72: 11 sản phẩm
2026-05-21 10:06:22 | INFO     | spider.longchau | Lấy danh sách trang 73: https://nhathuoclongchau.com.vn/thuoc?page=73
2026-05-21 10:06:25 | INFO     | spider.longchau | Trang 73: 11 sản phẩm
2026-05-21 10:06:25 | INFO     | spider.longchau | Lấy danh sách trang 74: https://nhathuoclongchau.com.vn/thuoc?page=74
2026-05-21 10:06:29 | INFO     | spider.longchau | Trang 74: 11 sản phẩm
2026-05-21 10:06:29 | INFO     | spider.longchau | Lấy danh sách trang 75: https://nhathuoclongchau.com.vn/thuoc?page=75
2026-05-21 10:06:33 | INFO     | spider.longchau | Trang 75: 11 sản phẩm
2026-05-21 10:06:33 | INFO     | spider.longchau | Lấy danh sách trang 76: https://nhathuoclongchau.com.vn/thuoc?page=76
2026-05-21 10:06:36 | INFO     | spider.longchau | Trang 76: 11 sản phẩm
2026-05-21 10:06:36 | INFO     | spider.longchau | Lấy danh sách trang 77: https://nhathuoclongchau.com.vn/thuoc?page=77
2026-05-21 10:06:40 | INFO     | spider.longchau | Trang 77: 11 sản phẩm
2026-05-21 10:06:40 | INFO     | spider.longchau | Lấy danh sách trang 78: https://nhathuoclongchau.com.vn/thuoc?page=78
2026-05-21 10:06:44 | INFO     | spider.longchau | Trang 78: 11 sản phẩm
2026-05-21 10:06:44 | INFO     | spider.longchau | Lấy danh sách trang 79: https://nhathuoclongchau.com.vn/thuoc?page=79
2026-05-21 10:06:47 | INFO     | spider.longchau | Trang 79: 11 sản phẩm
2026-05-21 10:06:47 | INFO     | spider.longchau | Lấy danh sách trang 80: https://nhathuoclongchau.com.vn/thuoc?page=80
2026-05-21 10:06:51 | INFO     | spider.longchau | Trang 80: 11 sản phẩm
2026-05-21 10:06:51 | INFO     | spider.longchau | Lấy danh sách trang 81: https://nhathuoclongchau.com.vn/thuoc?page=81
2026-05-21 10:06:55 | INFO     | spider.longchau | Trang 81: 11 sản phẩm
2026-05-21 10:06:55 | INFO     | spider.longchau | Lấy danh sách trang 82: https://nhathuoclongchau.com.vn/thuoc?page=82
2026-05-21 10:06:58 | INFO     | spider.longchau | Trang 82: 11 sản phẩm
2026-05-21 10:06:58 | INFO     | spider.longchau | Lấy danh sách trang 83: https://nhathuoclongchau.com.vn/thuoc?page=83
2026-05-21 10:07:03 | INFO     | spider.longchau | Trang 83: 11 sản phẩm
2026-05-21 10:07:03 | INFO     | spider.longchau | Lấy danh sách trang 84: https://nhathuoclongchau.com.vn/thuoc?page=84
2026-05-21 10:07:07 | INFO     | spider.longchau | Trang 84: 11 sản phẩm
2026-05-21 10:07:07 | INFO     | spider.longchau | Lấy danh sách trang 85: https://nhathuoclongchau.com.vn/thuoc?page=85
2026-05-21 10:07:10 | INFO     | spider.longchau | Trang 85: 11 sản phẩm
2026-05-21 10:07:10 | INFO     | spider.longchau | Lấy danh sách trang 86: https://nhathuoclongchau.com.vn/thuoc?page=86
2026-05-21 10:07:15 | INFO     | spider.longchau | Trang 86: 11 sản phẩm
2026-05-21 10:07:15 | INFO     | spider.longchau | Lấy danh sách trang 87: https://nhathuoclongchau.com.vn/thuoc?page=87
2026-05-21 10:07:19 | INFO     | spider.longchau | Trang 87: 11 sản phẩm
2026-05-21 10:07:19 | INFO     | spider.longchau | Lấy danh sách trang 88: https://nhathuoclongchau.com.vn/thuoc?page=88
2026-05-21 10:07:22 | INFO     | spider.longchau | Trang 88: 11 sản phẩm
2026-05-21 10:07:22 | INFO     | spider.longchau | Lấy danh sách trang 89: https://nhathuoclongchau.com.vn/thuoc?page=89
2026-05-21 10:07:26 | INFO     | spider.longchau | Trang 89: 11 sản phẩm
2026-05-21 10:07:26 | INFO     | spider.longchau | Lấy danh sách trang 90: https://nhathuoclongchau.com.vn/thuoc?page=90
2026-05-21 10:07:30 | INFO     | spider.longchau | Trang 90: 11 sản phẩm
2026-05-21 10:07:30 | INFO     | spider.longchau | Lấy danh sách trang 91: https://nhathuoclongchau.com.vn/thuoc?page=91
2026-05-21 10:07:35 | INFO     | spider.longchau | Trang 91: 11 sản phẩm
2026-05-21 10:07:35 | INFO     | spider.longchau | Lấy danh sách trang 92: https://nhathuoclongchau.com.vn/thuoc?page=92
2026-05-21 10:07:39 | INFO     | spider.longchau | Trang 92: 11 sản phẩm
2026-05-21 10:07:39 | INFO     | spider.longchau | Lấy danh sách trang 93: https://nhathuoclongchau.com.vn/thuoc?page=93
2026-05-21 10:07:43 | INFO     | spider.longchau | Trang 93: 11 sản phẩm
2026-05-21 10:07:43 | INFO     | spider.longchau | Lấy danh sách trang 94: https://nhathuoclongchau.com.vn/thuoc?page=94
2026-05-21 10:07:46 | INFO     | spider.longchau | Trang 94: 11 sản phẩm
